year,county_fips,county_name,avg_annual_pay,avg_annual_weekly_wage,avg_monthly_rent
2021,37109,"Lincoln County, North Carolina","47,959",922,
2021,37111,"McDowell County, North Carolina","40,915",787,
2021,37113,"Macon County, North Carolina","40,647",782,
2021,37115,"Madison County, North Carolina","39,307",756,
2021,37117,"Martin County, North Carolina","35,320",679,
2021,37119,"Mecklenburg County, North Carolina","77,156","1,484",1465.6754538034982
2021,37121,"Mitchell County, North Carolina","41,289",794,
2021,37123,"Montgomery County, North Carolina","46,847",901,
2021,37125,"Moore County, North Carolina","47,914",921,1446.6114003693326
2021,37127,"Nash County, North Carolina","46,468",894,
2021,37129,"New Hanover County, North Carolina","55,676","1,071",1393.2691770355932
2021,37131,"Northampton County, North Carolina","42,442",816,
2021,37133,"Onslow County, North Carolina","40,679",782,1107.131007311225
2021,37135,"Orange County, North Carolina","68,297","1,313",1484.7963692326773
2021,37137,"Pamlico County, North Carolina","33,400",642,
2021,37139,"Pasquotank County, North Carolina","43,997",846,
2021,37141,"Pender County, North Carolina","40,449",778,
2021,37143,"Perquimans County, North Carolina","39,144",753,
2021,37145,"Person County, North Carolina","44,726",860,
2021,37147,"Pitt County, North Carolina","51,659",993,1142.191645797514
2021,37149,"Polk County, North Carolina","39,981",769,
2021,37151,"Randolph County, North Carolina","42,303",814,
2021,37153,"Richmond County, North Carolina","40,028",770,
2021,37155,"Robeson County, North Carolina","40,895",786,
2021,37157,"Rockingham County, North Carolina","41,101",790,
2021,37159,"Rowan County, North Carolina","50,990",981,982.8547336377061
2021,37161,"Rutherford County, North Carolina","41,089",790,
2021,37163,"Sampson County, North Carolina","43,047",828,
2021,37165,"Scotland County, North Carolina","42,851",824,
2021,37167,"Stanly County, North Carolina","41,231",793,
2021,37169,"Stokes County, North Carolina","36,304",698,
2021,37171,"Surry County, North Carolina","42,534",818,
2021,37173,"Swain County, North Carolina","43,228",831,
2021,37175,"Transylvania County, North Carolina","41,306",794,
2021,37177,"Tyrrell County, North Carolina","36,520",702,
2021,37179,"Union County, North Carolina","51,097",983,1688.7129778071592
2021,37181,"Vance County, North Carolina","41,685",802,
