month_start_date,jurisdiction,filings_count,percent_of_historical_average
2/1/2022,Durham,519,65.63
3/1/2022,Durham,583,92.06
4/1/2022,Durham,490,66.89
5/1/2022,Durham,483,60.21
6/1/2022,Durham,535,59.44
7/1/2022,Durham,601,64.92
8/1/2022,Durham,640,68.58
9/1/2022,Durham,564,65.92
10/1/2022,Durham,665,74.94
11/1/2022,Durham,546,70.16
12/1/2022,Durham,564,64.19
1/1/2023,Durham,702,73.68
2/1/2023,Durham,575,72.72
3/1/2023,Durham,554,87.49
4/1/2023,Durham,426,58.16
5/1/2023,Durham,650,81.02
6/1/2023,Durham,569,63.22
1/1/2020,Pitt,538,94.06
2/1/2020,Pitt,481,117.6
3/1/2020,Pitt,184,52.99
4/1/2020,Pitt,50,12.85
5/1/2020,Pitt,144,35.51
6/1/2020,Pitt,165,34.96
7/1/2020,Pitt,268,56.95
8/1/2020,Pitt,303,70.11
9/1/2020,Pitt,261,61.53
10/1/2020,Pitt,277,59.49
11/1/2020,Pitt,172,42.74
12/1/2020,Pitt,146,36.45
1/1/2021,Pitt,166,29.02
2/1/2021,Pitt,133,32.52
3/1/2021,Pitt,186,53.56
4/1/2021,Pitt,163,41.88
5/1/2021,Pitt,145,35.76
6/1/2021,Pitt,167,35.38
7/1/2021,Pitt,148,31.45
8/1/2021,Pitt,144,33.32
9/1/2021,Pitt,172,40.55
10/1/2021,Pitt,178,38.23
11/1/2021,Pitt,231,57.41
12/1/2021,Pitt,174,43.43
1/1/2022,Pitt,237,41.43
2/1/2022,Pitt,241,58.92
3/1/2022,Pitt,364,104.82
4/1/2022,Pitt,376,96.6
5/1/2022,Pitt,619,152.65
6/1/2022,Pitt,549,116.31
7/1/2022,Pitt,601,127.71
8/1/2022,Pitt,525,121.47
9/1/2022,Pitt,468,110.33
10/1/2022,Pitt,617,132.52
11/1/2022,Pitt,503,125
12/1/2022,Pitt,528,131.8
1/1/2023,Pitt,562,98.25
2/1/2023,Pitt,365,89.24
3/1/2023,Pitt,402,115.77
4/1/2023,Pitt,462,118.69
5/1/2023,Pitt,507,125.03
6/1/2023,Pitt,521,110.38
1/1/2020,Gaston,411,95.47
2/1/2020,Gaston,441,123.01
3/1/2020,Gaston,253,87.24
4/1/2020,Gaston,44,12.32
5/1/2020,Gaston,86,23.06
6/1/2020,Gaston,102,23.75
7/1/2020,Gaston,201,44.73
8/1/2020,Gaston,243,53.52
9/1/2020,Gaston,223,52.97
10/1/2020,Gaston,264,66.33
11/1/2020,Gaston,211,55.12
12/1/2020,Gaston,205,53.72
1/1/2021,Gaston,102,23.69
2/1/2021,Gaston,145,40.45
3/1/2021,Gaston,168,57.93
