jurisdiction,year,total_evictions,months_reported,total_population,evictions_per_1000,count_black,count_hispanic,count_white,count_asian,count_native,count_pacific,count_other,count_multiracial,percent_black,percent_hispanic,percent_white,percent_asian,percent_native,percent_pacific,percent_other,percent_multiracial,is_complete_year,data_completeness
Chowan,2020,52,11,13730,3.7873270211216314,4769,518,8403,40,0,0,0,0,34,3.7,59.9,0.4,0,0,0,0,false,91.7%
Chowan,2021,45,12,13706,3.283233620312272,4725,522,8343,116,0,0,0,0,33.9,3.7,59.8,0.8,0,0,0,0,true,100.0%
Chowan,2022,72,12,13582,5.301133853629804,4653,496,8319,114,0,0,0,0,33.7,3.6,60.2,0.8,0,0,0,0,true,100.0%
Chowan,2023,28,6,13467,2.0791564565233536,4537,529,8293,108,0,0,0,0,33.1,3.9,60.4,0.8,0,0,0,0,false,50.0%
Transylvania,2020,97,12,33347,2.9088073889705224,1198,1184,30875,90,0,0,0,0,3.5,3.5,90.2,2.2,0,0,0,0,true,100.0%
Transylvania,2021,104,12,33634,3.0921091752393415,1166,1168,31076,224,0,0,0,0,3.4,3.4,90.4,0.7,0,0,0,0,true,100.0%
Transylvania,2022,125,12,33714,3.707658539479148,1175,1186,31132,221,0,0,0,0,3.4,3.4,90.2,0.6,0,0,0,0,true,100.0%
Transylvania,2023,61,6,32354,1.8853928416888175,1105,1191,29837,221,0,0,0,0,3.3,3.6,90,0.7,0,0,0,0,false,50.0%
Davie,2020,105,11,42023,2.4986317016871715,2668,2995,35911,449,0,0,0,0,6.2,7,84,0.8,0,0,0,0,false,91.7%
Davie,2021,135,12,42046,3.210769157589307,2631,3107,35942,366,0,0,0,0,6.1,7.3,83.9,0.9,0,0,0,0,true,100.0%
Davie,2022,205,12,42462,4.827846074136875,2712,3178,36173,399,0,0,0,0,6.3,7.3,83.6,0.9,0,0,0,0,true,100.0%
Davie,2023,74,6,42680,1.7338331771321462,2776,3337,36158,409,0,0,0,0,6.4,7.7,83.1,0.9,0,0,0,0,false,50.0%
Stokes,2020,113,12,45116,2.5046546679670185,1744,1396,41454,522,0,0,0,0,3.8,3.1,91.2,0.7,0,0,0,0,true,100.0%
Stokes,2021,113,12,44904,2.516479600926421,1775,1507,41434,188,0,0,0,0,3.9,3.3,90.9,0.4,0,0,0,0,true,100.0%
Stokes,2022,126,12,45007,2.799564512186993,1783,1586,41445,193,0,0,0,0,3.9,3.5,90.6,0.4,0,0,0,0,true,100.0%
Stokes,2023,76,6,43799,1.735199433777027,1807,1627,40174,191,0,0,0,0,4.1,3.7,90.2,0.4,0,0,0,0,false,50.0%
Currituck,2020,78,12,26502,2.9431741000679192,1498,1073,23641,290,0,0,0,0,5.5,4,87.3,0.8,0,0,0,0,true,100.0%
Currituck,2021,57,12,27088,2.1042528056704075,1509,1212,24136,231,0,0,0,0,5.4,4.4,86.9,0.8,0,0,0,0,true,100.0%
Currituck,2022,89,12,28303,3.144542981309402,1572,1325,25143,263,0,0,0,0,5.4,4.6,86.5,0.9,0,0,0,0,true,100.0%
